HotspotID,LabName,Addresses,City,Latitude,Longitude
51,"Sher - i -Kashmir Institute of Medical Sciences, Srinagar","SKIMS Main Rd, Soura, Srinagar, 190011", Srinagar,34.1417,74.7972
52,"Government Medical College, Jammu","Maheshpura, Chowk, Bakshi Nagar, Jammu Cantonment, Jammu and Kashmir 180001", Jammu,32.7357,74.8691
53,"Government Medical College, Srinagar","Jammu and Kashmir, Bemina, Srinagar, 190010", Srinagar,34.1417,74.7972
54,"Rajendra Institute of Medical Sciences, Ranchi","Rims Cir, Indraprasth Colony, Bariatu, Ranchi, Jharkhand 834009", Ranchi,24.213,87.3066
55,"MGM Medical College, Jamshedpur ","Dimna Rd, Hill View Colony, Mango, Jamshedpur, Jharkhand 831020", Jamshedpur ,23.2131,81.2026
56,"Bangalore Medical College & Research Institute, Bangaluru","Bangalore Medical College & Research Institute, Krishna Rajendra Rd, Bengaluru, Karnataka 560002", Bangaluru,12.9586104,77.574717
57,"Mysore Medical College and Research Institute, Mysore","Irwin Road, Next to Railway Staion, Mysuru, Karnataka 570001", Mysore,12.2979,76.6393
59,"Hassan Institute of Medical Sciences, Hassan","Shri panchamukhi medicals and clinic, opp. govt high school, Hassan, Karnataka 573201", Hassan,13.00715,76.0962
60,"Shimoga Institute of Medical Sciences, Shivamogga","Shimoga Institute of Medical Sciences, N.H.-206, B.H. Road, Shivamogga – 577201 Karnataka", Shivamogga,13.9316,75.5679
61,"Gulbarga Institute Of Medical Sciences, Gulbarga","Sedam Rd,Veeresh Nagar Cross, behind MRMC, Gulbarga, Karnataka 585101", Gulbarga,17.3376,76.8379
62,"Government Medical College, Kozhikode ","17 Medical College Road Medical College Junction, Near Police Station, Kozhikode, Kerala 673008", Kozhikode ,,
63,"Government Medical College, Trivandrum","Ulloor - Akkulam Rd, near SAT hospital Medical College Junction, Chalakkuzhi, Thiruvananthapuram, Kerala 695011", Trivandrum,,
64,"Government Medical College, Thrissur","M. G. Kavu, Thrissur, Kerala 680596", Thrissur,11.0072,76.967
65,"ICMR-National Institute of Virology Field Unit, Allapuzzha","E-Block, 2nd Floor, Govt. TDMC Hospital Complex, Vandanam, Alappuzha 688005 Kerala", Allapuzzha,9.41667,76.5
66," All India Institute of Medical Sciences (AIIMS), Bhopal","All India Institute of Medical Sciences (AIIMS), AIIMS Campus Rd, Saket Nagar, Habib Ganj, Bhopal, Madhya Pradesh 462026", Bhopal,23.25469,77.40289
67,"MGM Medical College, Indore","MGM Medical College, Indore, Madhya Pradesh 452001", Indore,22.714297,75.8829715
70,"ICMR-National Institute for Research in Tribal Health, Jabalpur"," NIRTH Complex, Nagpur Road P.O. - Garha, Jabalpur - 482 003, Madhya Pradesh, India", Jabalpur,23.16213,79.89939
72,Indira Gandhi Government Medical College & Hospital,"Mayo Hospital, Central Ave, Mominpura, Nagpur 440018",Nagpur,21.1346,79.0812
