HotspotID,LabName,Addresses,City,Latitude,Longitude
188,"MIMS Laboratory Services, Kozhikode","Aster MIMS Laboratory Services, Mini, Mini Bypass Rd, Govindapuram, Kozhikode, Kerala 673016", Kozhikode,11.5,76.0
189,"City x-Ray & Scan Clinic Pvt. Ltd., New Delhi ","City X Ray & Scan Clinic Pvt. Ltd., Molecular Laboratory, Third Floor,City Imaging Building, 4B/18, Tilak Nagar, Near haldiram, New Delhi 110018", New Delhi ,,
190,"Tata Memorial Centre Diagnostic Services, Tata Memorial Hospital, Mumbai","Dept. of Microbiology & Serology, 6th Floor, Anexe Building, Tata Memorial Hospital, Dr. E. Borges Road, Parel, Mumbai 400012", Mumbai,,
191,"Medcis Pathlabs India Pvt.Ltd., Secunderabad","Plot 16 & 17, Swathi Plaza, Bhavani Enclave, Anand Nagar, New Bowenpally, near Asish Gardens, Hyderabad, Telangana 500011", Secunderabad,,
192,"Molq Lab (A Unit of Molecular Quest Healthcare Private Limited), Gurugram","Plot 28-29, Sector 18(P), Electronic City, Udyog Vihar Phase-IV, Gurugram, Haryana 122001", Gurugram,29.25,76.33333
193,"V. M. Govt. Medical College, Solapur","Opp. District Court, Solapur, Maharashtra 413003, India", Solapur,17.75,75.5
194,"Goa Medical College and Hospital, Bambolim","Bambolim, Tiswadi Goa India 403202", Bambolim,15.4589541,73.8589792
195,"Haffkine Institute, Mumbai","Acharya Donde Marg, Parel, Mumbai 400012, Maharashtra", Mumbai,19.0052672,72.8397502
198,"Defence Research & Development Establishment (DRDE), Gwalior","Defence Research & Development Organisation, Jhansi Road, Gwalior-474002, Madhya Pradesh", Gwalior,26.5374,77.7248
199,"Stanley Medical College, Chennai","No. 1, Old Jail Rd, Old Washermanpet, Chennai, Tamil Nadu 600001", Chennai,13.1052413,80.2828324
205,"Sir Thutob Namgyal Memorial (STNM), Gangtok","Sungava, Gangtok, Sikkim 737101", Gangtok,27.3257,88.6122
206," Sonam Nurboo Memorial Hospital, Leh-Ladakh","Sonam Nurboo Memorial Hospital, Old Leh Rd, Leh-Ladakh, Ladakh 194101", Leh-Ladakh,34.16504,77.58402
207,"Tomo Riba Institute Health and Medical Sciences (TRIHMS), Naharlagun","Old Assembly Complex, Naharlagun, Papumpare District, Arunachal Pradesh 791110", Naharlagun,27.1047,93.6952
208,"Y. R. Gaitonde Centre for AIDS Research and Education (YRG Care), Chennai","Division of Molecular Biology & Genotyping, YRG CARE Infectious Diseases Laboratory VHS Hospital Campus, Rajiv Gandhi Road, Tharamani, Chennai, Tamil Nadu 600113", Chennai,,
210,"Central University of Kerala, Kasaragod","Central University of Kerala, Tejaswini Hills, Periye (PO), Kasaragod (DT), Kerala - 671316", Kasaragod,12.3965,75.0351
211,"Microbiological Laboratory, Coimbatore","Microbiological laboratory, no-02, kings colony, united nagar, veerakeralam road, vadavalli, Coimbatore, Tamil Nadu, India", Coimbatore,11.00555,76.96612
212,"School of Tropical Medicine, Kolkata","108, Chittaranjan Avenue, Kolkata - 700073, West Bengal", Kolkata,22.5748473,88.3603332
214,"The Department of Laboratory Medicine, Yashoda Hospital, Secunderabad","9th Floor, 1-1-156 & 157, Alexander Road, S. P. Road, Secunderabad, Telangana 500003", Secunderabad,17.50427,78.54263
215,"Dr. Ahuja’s Pathlogy and Imaging Centre-Department of Laboratory Medicine, Dehradun","7-B Astley Hall, Ugrasain Rd, Dehradun, Uttarakhand 248001", Dehradun,26.7507,75.7348
216,"PATHKIND Diagnostics Pvt. Ltd., Gurugram","Plot No. 55, 56, Service Lane, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015", Gurugram,29.25,76.33333
218,"ESIC Medical College and Hospital, Faridabad","ESIC Medical College and Hospital, NH-3, NIT, Faridabad, Haryana", Faridabad,28.41252,77.31977
